Year,Real GDP per capita (2013 pounds)
1870,4033.00
1871,4211.00
1872,4178.00
1873,4166.00
1874,4287.00
1875,4279.00
1876,4253.00
1877,4229.00
1878,4189.00
1879,4056.00
1880,4310.00
1881,4361.00
1882,4391.00
1883,4484.00
1884,4395.00
1885,4314.00
1886,4294.00
1887,4433.00
1888,4533.00
1889,4638.00
1890,4635.00
1891,4707.00
1892,4555.00
1893,4471.00
1894,4636.00
1895,4740.00
1896,4891.00
1897,4897.00
1898,5073.00
1899,5204.00
1900,5135.00
1901,5194.00
1902,5223.00
1903,5118.00
1904,5130.00
1905,5243.00
1906,5327.00
1907,5385.00
1908,5120.00
1909,5197.00
1910,5294.00
1911,5428.00
1912,5491.00
1913,5698.00
1914,5754.00
1915,6030.00
1916,6070.00
1917,6018.00
1918,6136.00
1919,5661.00
1920,5294.00
1921,4754.00
1922,4958.00
1923,5078.00
1924,5282.00
1925,5449.00
1926,5259.00
1927,5642.00
1928,5668.00
1929,5817.00
1930,5750.00
1931,5462.00
1932,5435.00
1933,5585.00
1934,5900.00
1935,6092.00
1936,6353.00
1937,6547.00
1938,6569.00
1939,6820.00
1940,7424.00
1941,8072.00
1942,8186.00
1943,8260.00
1944,7860.00
1945,7475.00
1946,7286.00
1947,7147.00
1948,7304.00
1949,7502.00
1950,7715.00
1951,8043.00
1952,8141.00
1953,8569.00
1954,8911.00
1955,9236.00
1956,9348.00
1957,9487.00
1958,9573.00
1959,9923.00
1960,10467.00
1961,10658.00
1962,10675.00
1963,11122.00
1964,11676.00
1965,11844.00
1966,11963.00
1967,12223.00
1968,12830.00
1969,13018.00
1970,13328.00
1971,13735.00
1972,14282.00
1973,15176.00
1974,14792.00
1975,14573.00
1976,15014.00
1977,15387.00
1978,16033.00
1979,16612.00
1980,16244.00
1981,16124.00
1982,16461.00
1983,17145.00
1984,17500.00
1985,18175.00
1986,18705.00
1987,19672.00
1988,20758.00
1989,21234.00
1990,21329.00
1991,21020.00
1992,21051.00
1993,21527.00
1994,22297.00
1995,22798.00
1996,23310.00
1997,24407.00
1998,25242.00
1999,25981.00
2000,26800.00
2001,27426.00
2002,27904.00
2003,28700.00
2004,29202.00
2005,29835.00
2006,30430.00
2007,30899.00
2008,30561.00
2009,29098.00
2010,29466.00
2011,29594.00
2012,29819.00
2013,30281.00
2014,30911.00
2015,31392.00
2016,31671.00
2017,32030.00
2018,32239.00
2019,32524.00
2020,29197.00